Rank,Strategy,Dir,TF,Entry,Exit,SL,TP,Opened,Closed,Reason,Raw Pips,Net Pips,Net $,R:R
1,ICH_10_BTCUSD_H1,BUY,H1,67227.27,67875.67,67880.21,68227.27,2026-02-18T02:02:13,2026-02-18T05:18:08,sl_hit,648.4,597.4,5.854,1.53
2,SM_04_BTCUSD_H1,SELL,H1,67582.0,66938.53,66938.53,66582.0,2026-02-18T00:05:48,2026-02-18T04:48:50,sl,643.5,592.9,5.8087,1.55
3,CCI_01_BTCUSD_H1,BUY,H1,67304.63,67946.53,67954.9,68304.63,2026-02-18T15:01:21,2026-02-18T15:38:36,sl_hit,641.9,591.1,5.791,1.54
4,BB_03_BTCUSD_H1,BUY,H1,67304.63,67946.53,67954.9,68304.63,2026-02-18T15:01:22,2026-02-18T15:38:36,sl_hit,641.9,590.6,5.786,1.54
5,MACD_03_BTCUSD_H1,SELL,H1,67557.51,66938.53,66938.53,66557.51,2026-02-18T00:03:00,2026-02-18T04:48:49,sl,619.0,567.4,5.5538,1.62
6,CCI_01_BTCUSD_H1,SELL,H1,67772.09,67171.32,67122.65,66772.09,2026-02-18T11:02:55,2026-02-18T11:11:24,sl_hit,600.8,550.1,5.3807,1.54
7,PVT_04_BTCUSD_H1,SELL,H1,67770.34,67171.96,67122.65,66770.34,2026-02-18T11:03:48,2026-02-18T11:11:24,sl_hit,598.4,547.8,5.3578,1.54
8,MS_07_BTCUSD_H1,SELL,H1,67765.9,67171.32,67122.65,66765.9,2026-02-18T11:02:01,2026-02-18T11:11:24,sl_hit,594.6,544.0,5.3198,1.55
9,VOL_03_BTCUSD_H1,SELL,H1,66892.8,66355.33,66322.61,65892.8,2026-02-18T18:26:55,2026-02-18T18:47:20,sl_hit,537.5,486.4,4.7437,1.75
10,ICH_04_BTCUSD_H1,SELL,H1,67769.46,67249.18,67205.41,66769.46,2026-02-18T15:52:56,2026-02-18T16:08:12,sl_hit,520.3,468.7,4.5668,1.77
11,MTF_03_BTCUSD_H1,SELL,H1,66869.86,66353.46,66322.61,65869.86,2026-02-18T18:39:33,2026-02-18T18:47:20,sl_hit,516.4,465.7,4.537,1.83
12,ICH_01_BTCUSD_H1,SELL,H1,66869.86,66355.33,66322.61,65869.86,2026-02-18T18:39:33,2026-02-18T18:47:20,sl_hit,514.5,463.2,4.5123,1.83
13,SM_05_BTCUSD_H1,BUY,H1,67381.22,67875.67,67880.21,68381.22,2026-02-18T03:01:33,2026-02-18T05:18:11,sl_hit,494.4,443.9,4.3195,2.0
14,MOM_01_BTCUSD_H1,SELL,H1,66827.39,66355.33,66322.61,65827.39,2026-02-18T18:23:21,2026-02-18T18:47:20,sl_hit,472.1,421.4,4.0936,1.98
15,PVT_02_BTCUSD_H1,SELL,H1,68261.04,67794.11,67793.9,67261.04,2026-02-18T08:34:56,2026-02-18T10:45:46,sl_hit,466.9,415.6,4.0363,2.14
16,VOL_05_BTCUSD_H1,SELL,H1,67296.81,66835.71,66810.17,66296.81,2026-02-18T11:08:52,2026-02-18T14:50:15,sl_hit,461.1,409.5,3.975,2.05
17,MTF_04_BTCUSD_H1,SELL,H1,67296.81,66835.71,66810.17,66296.81,2026-02-18T11:08:51,2026-02-18T14:50:15,sl_hit,461.1,409.3,3.973,2.05
18,ST_05_BTCUSD_H1,SELL,H1,67315.05,66857.24,66684.23,66315.05,2026-02-18T16:05:28,2026-02-18T18:23:25,sl_hit,457.8,406.0,3.9401,1.59
19,MA_07_BTCUSD_H1,SELL,H1,67315.05,66859.92,66684.23,66315.05,2026-02-18T16:05:28,2026-02-18T18:23:25,sl_hit,455.1,404.2,3.9223,1.59
20,ADX_01_BTCUSD_H1,SELL,H1,67290.52,66836.22,66810.17,66290.52,2026-02-18T14:10:29,2026-02-18T14:50:16,sl_hit,454.3,403.2,3.912,2.08
21,VOL_03_BTCUSD_H1,SELL,H1,67290.52,66836.28,66810.17,66290.52,2026-02-18T14:10:28,2026-02-18T14:50:16,sl_hit,454.2,402.4,3.9044,2.08
22,MA_03_BTCUSD_H1,SELL,H1,66611.49,66159.64,66092.27,65611.49,2026-02-19T15:03:33,2026-02-19T15:15:43,sl_hit,451.9,400.3,3.8825,1.93
23,ST_05_BTCUSD_H1,SELL,H1,67281.99,66836.28,66810.17,66281.99,2026-02-18T14:04:19,2026-02-18T14:50:16,sl_hit,445.7,394.1,3.8211,2.12
24,MA_09_BTCUSD_H1,SELL,H1,67316.41,66871.9,66685.41,66316.41,2026-02-18T17:11:15,2026-02-18T18:23:26,sl_hit,444.5,393.2,3.8121,1.58
25,CH_04_BTCUSD_H1,SELL,H1,67279.06,66836.28,66810.17,66279.06,2026-02-18T14:09:37,2026-02-18T14:50:16,sl_hit,442.8,392.0,3.7998,2.13
26,MA_12_BTCUSD_H1,SELL,H1,67279.06,66836.28,66810.17,66279.06,2026-02-18T14:09:37,2026-02-18T14:50:16,sl_hit,442.8,391.4,3.7938,2.13
