Rank,Strategy,Direction,TF,Entry,Exit,SL,TP,Opened,Closed,Close Reason,Raw Pips,Spread,Slippage,Net Pips,Gross $,Net $,Risk Pips,Reward Pips,R:R
1,ATR_03_XAUUSD_H1,BUY,H1,4953.25,4974.37,4963.58,4969.25,2026-02-18T13:47:08,2026-02-18T14:32:54,tp_hit,211.2,12,1.0,198.2,21.12,19.7,103.3,160.0,1.55
2,MTF_03_XAUUSD_H1,BUY,H1,4953.25,4974.32,4963.58,4969.25,2026-02-18T13:47:07,2026-02-18T14:32:54,tp_hit,210.7,12,1.2,197.5,21.07,19.63,103.3,160.0,1.55
3,VOL_03_XAUUSD_H1,BUY,H1,4953.34,4974.34,4963.58,4969.34,2026-02-18T13:47:59,2026-02-18T14:32:54,tp_hit,210.0,12,1.2,196.8,21.0,19.56,102.4,160.0,1.56
4,DIV_05_XAUUSD_H1,BUY,H1,4953.34,4974.25,4963.58,4969.34,2026-02-18T13:47:59,2026-02-18T14:32:54,tp_hit,209.1,12,0.6,196.5,20.91,19.53,102.4,160.0,1.56
5,ADX_06_XAUUSD_H1,BUY,H1,4960.97,4981.78,4971.57,4976.97,2026-02-18T14:03:26,2026-02-18T14:37:21,tp_hit,208.1,12,0.8,195.3,20.81,19.41,106.0,160.0,1.51
6,COR_03_XAUUSD_H1,BUY,H1,4960.97,4981.78,4971.57,4976.97,2026-02-18T14:03:25,2026-02-18T14:37:21,tp_hit,208.1,12,0.9,195.2,20.81,19.4,106.0,160.0,1.51
7,MA_10_XAUUSD_H1,BUY,H1,4953.56,4974.2,4963.58,4969.56,2026-02-18T13:55:54,2026-02-18T14:32:54,tp_hit,206.4,12,0.6,193.8,20.64,19.26,100.2,160.0,1.6
8,ST_02_XAUUSD_H1,BUY,H1,4953.56,4974.21,4963.58,4969.56,2026-02-18T13:55:54,2026-02-18T14:32:54,tp_hit,206.5,12,1.2,193.3,20.65,19.21,100.2,160.0,1.6
9,SM_08_XAUUSD_H1,SELL,H1,5019.92,5000.56,5009.55,5003.92,2026-02-19T09:16:07,2026-02-19T09:29:47,tp_hit,193.6,12,1.8,179.8,19.36,17.86,103.7,160.0,1.54
10,VOL_03_XAUUSD_H1,BUY,H1,4986.9,5005.97,4997.11,5002.9,2026-02-18T14:48:30,2026-02-18T15:04:09,tp_hit,190.7,12,0.7,178.0,19.07,17.68,102.1,160.0,1.57
11,DIV_05_XAUUSD_H1,BUY,H1,4986.9,5005.94,4997.11,5002.9,2026-02-18T14:48:30,2026-02-18T15:04:09,tp_hit,190.4,12,0.8,177.6,19.04,17.64,102.1,160.0,1.57
12,ICH_05_XAUUSD_H1,BUY,H1,4982.56,5000.51,4993.03,4998.56,2026-02-18T14:39:55,2026-02-18T15:03:15,tp_hit,179.5,12,0.7,166.8,17.95,16.56,104.7,160.0,1.53
13,ATR_03_XAUUSD_H1,BUY,H1,4988.1,5005.95,4997.13,5004.1,2026-02-18T14:47:39,2026-02-18T15:04:08,tp_hit,178.5,12,1.8,164.7,17.85,16.35,90.3,160.0,1.77
14,MTF_03_XAUUSD_H1,BUY,H1,4988.1,5005.91,4997.13,5004.1,2026-02-18T14:47:39,2026-02-18T15:04:08,tp_hit,178.1,12,1.4,164.7,17.81,16.35,90.3,160.0,1.77
15,MA_10_XAUUSD_H1,BUY,H1,4932.66,4949.57,4940.73,4948.66,2026-02-18T12:54:41,2026-02-18T13:00:56,tp_hit,169.1,12,0.5,156.6,16.91,15.54,80.7,160.0,1.98
16,ST_02_XAUUSD_H1,BUY,H1,4932.66,4949.58,4940.73,4948.66,2026-02-18T12:54:41,2026-02-18T13:00:56,tp_hit,169.2,12,1.0,156.2,16.92,15.5,80.7,160.0,1.98
17,ULT_02_XAUUSD_H1,SELL,H1,4985.64,4968.83,4979.67,4969.64,2026-02-18T21:04:36,2026-02-18T23:02:39,tp_hit,168.1,12,1.2,154.9,16.81,15.37,59.7,160.0,2.68
18,PVT_01_XAUUSD_H1,BUY,H1,4925.3,4941.98,4935.3,4941.3,2026-02-18T12:21:21,2026-02-18T12:59:03,tp_hit,166.8,12,0.6,154.2,16.68,15.3,100.0,160.0,1.6
19,EW_04_XAUUSD_H1,BUY,H1,4925.3,4941.99,4935.3,4941.3,2026-02-18T12:21:21,2026-02-18T12:59:03,tp_hit,166.9,12,0.9,154.0,16.69,15.28,100.0,160.0,1.6
20,FIB_02_XAUUSD_H1,SELL,H1,4985.35,4968.9,4979.67,4969.35,2026-02-18T21:01:59,2026-02-18T23:02:39,tp_hit,164.5,12,0.7,151.8,16.45,15.06,56.8,160.0,2.82
21,MACD_05_XAUUSD_H1,SELL,H1,4985.35,4968.9,4979.67,4969.35,2026-02-18T21:02:01,2026-02-18T23:02:39,tp_hit,164.5,12,0.8,151.7,16.45,15.05,56.8,160.0,2.82
22,SM_02_XAUUSD_H1,BUY,H1,4920.16,4936.65,4929.1,4936.16,2026-02-18T12:34:08,2026-02-18T12:55:34,tp_hit,164.9,12,1.6,151.3,16.49,15.01,89.4,160.0,1.79
23,VTX_02_XAUUSD_H1,BUY,H1,4920.16,4936.64,4929.1,4936.16,2026-02-18T12:34:07,2026-02-18T12:55:34,tp_hit,164.8,12,1.5,151.3,16.48,15.01,89.4,160.0,1.79
24,CP_06_XAUUSD_H1,SELL,H1,5016.86,5000.56,5009.55,5000.86,2026-02-19T09:19:26,2026-02-19T09:29:47,tp_hit,163.0,12,0.8,150.2,16.3,14.9,73.1,160.0,2.19
25,ATR_04_XAUUSD_H1,SELL,H1,5016.81,5000.52,5009.55,5000.81,2026-02-19T09:03:00,2026-02-19T09:29:47,tp_hit,162.9,12,0.9,150.0,16.29,14.88,72.6,160.0,2.2
26,PVT_02_XAUUSD_H1,BUY,H1,4991.36,5007.65,5001.36,5007.36,2026-02-19T05:11:02,2026-02-19T06:34:09,tp_hit,162.9,12,1.2,149.7,16.29,14.85,100.0,160.0,1.6
27,STOCH_03_XAUUSD_H1,SELL,H1,5016.73,5000.54,5009.55,5000.73,2026-02-19T09:03:58,2026-02-19T09:29:47,tp_hit,161.9,12,0.8,149.1,16.19,14.79,71.8,160.0,2.23
28,SRSI_03_XAUUSD_H1,SELL,H1,5016.81,5000.58,5009.55,5000.81,2026-02-19T09:03:00,2026-02-19T09:29:47,tp_hit,162.3,12,1.3,149.0,16.23,14.78,72.6,160.0,2.2
29,STOCH_07_XAUUSD_H1,SELL,H1,5016.8,5000.52,5009.55,5000.8,2026-02-19T09:02:04,2026-02-19T09:29:46,tp_hit,162.8,12,2.0,148.8,16.28,14.76,72.5,160.0,2.21
30,VTX_04_XAUUSD_H1,SELL,H1,5016.73,5000.53,5009.55,5000.73,2026-02-19T09:03:58,2026-02-19T09:29:47,tp_hit,162.0,12,1.9,148.1,16.2,14.69,71.8,160.0,2.23
31,MA_05_XAUUSD_H1,BUY,H1,4999.15,5015.29,5008.97,5015.15,2026-02-19T06:08:54,2026-02-19T06:47:25,tp_hit,161.4,12,1.6,147.8,16.14,14.66,98.2,160.0,1.63
32,ICH_02_XAUUSD_H1,BUY,H1,4999.15,5015.28,5008.97,5015.15,2026-02-19T06:08:55,2026-02-19T06:47:25,tp_hit,161.3,12,1.7,147.6,16.13,14.64,98.2,160.0,1.63
33,MACD_01_XAUUSD_H1,BUY,H1,4895.5,4911.5,4902.99,4911.5,2026-02-18T02:06:33,2026-02-18T04:49:04,tp,160.0,12,1.0,147.0,16.0,14.58,74.9,160.0,2.14
34,MOM_02_XAUUSD_H1,BUY,H1,4895.5,4911.5,4902.99,4911.5,2026-02-18T02:06:23,2026-02-18T04:49:02,tp,160.0,12,1.8,146.2,16.0,14.5,74.9,160.0,2.14
35,MA_10_XAUUSD_H1,SELL,H1,5021.62,5011.34,5010.96,5005.62,2026-02-19T07:11:53,2026-02-19T08:14:30,sl_hit,102.8,12,0.7,90.1,10.28,8.89,106.6,160.0,1.5
36,ICH_06_XAUUSD_H1,BUY,H1,4968.61,4978.72,4979.04,4984.61,2026-02-19T03:05:24,2026-02-19T04:02:18,sl_hit,101.1,12,1.3,87.8,10.11,8.66,104.3,160.0,1.53
37,PVT_03_XAUUSD_H1,SELL,H1,4989.85,4979.87,4979.16,4973.85,2026-02-18T19:03:14,2026-02-18T19:34:18,sl_hit,99.8,12,0.8,87.0,9.98,8.58,106.9,160.0,1.5
38,ULT_02_XAUUSD_H1,SELL,H1,4989.85,4979.87,4979.16,4973.85,2026-02-18T19:03:16,2026-02-18T19:34:18,sl_hit,99.8,12,1.5,86.3,9.98,8.51,106.9,160.0,1.5
39,BB_09_XAUUSD_H1,SELL,H1,4989.74,4979.87,4979.16,4973.74,2026-02-18T19:07:35,2026-02-18T19:34:18,sl_hit,98.7,12,1.3,85.4,9.87,8.42,105.8,160.0,1.51
40,MA_02_XAUUSD_H1,SELL,H1,4989.74,4979.91,4979.16,4973.74,2026-02-18T19:07:35,2026-02-18T19:34:19,sl_hit,98.3,12,1.9,84.4,9.83,8.32,105.8,160.0,1.51
41,ATR_03_XAUUSD_H1,BUY,H1,4968.94,4978.73,4979.04,4984.94,2026-02-19T03:08:46,2026-02-19T04:02:19,sl_hit,97.9,12,1.7,84.2,9.79,8.3,101.0,160.0,1.58
42,CP_06_XAUUSD_H1,SELL,H1,4981.89,4972.37,4971.89,4965.89,2026-02-18T21:08:44,2026-02-18T23:06:58,sl_hit,95.2,12,0.8,82.4,9.52,8.12,100.0,160.0,1.6
43,MACD_04_XAUUSD_H1,BUY,H1,4969.17,4978.73,4979.04,4985.17,2026-02-19T03:12:07,2026-02-19T04:02:19,sl_hit,95.6,12,1.2,82.4,9.56,8.12,98.7,160.0,1.62
44,MA_02_XAUUSD_H1,SELL,H1,5020.7,5011.37,5010.96,5004.7,2026-02-19T07:13:31,2026-02-19T08:14:31,sl_hit,93.3,12,0.9,80.4,9.33,7.92,97.4,160.0,1.64
45,MA_02_XAUUSD_H1,SELL,H1,4981.89,4972.45,4971.89,4965.89,2026-02-18T21:08:44,2026-02-18T23:06:58,sl_hit,94.4,12,2.0,80.4,9.44,7.92,100.0,160.0,1.6
46,ARN_02_XAUUSD_H1,SELL,H1,4981.84,4972.45,4971.81,4965.84,2026-02-18T21:07:06,2026-02-18T23:06:57,sl_hit,93.9,12,1.6,80.3,9.39,7.91,100.3,160.0,1.6
47,FIB_06_XAUUSD_H1,SELL,H1,4981.84,4972.45,4971.81,4965.84,2026-02-18T21:07:06,2026-02-18T23:06:57,sl_hit,93.9,12,1.9,80.0,9.39,7.88,100.3,160.0,1.6
48,ICH_09_XAUUSD_H1,BUY,H1,4969.44,4978.73,4979.04,4985.44,2026-02-19T03:11:16,2026-02-19T04:02:19,sl_hit,92.9,12,1.0,79.9,9.29,7.87,96.0,160.0,1.67
49,PA_06_XAUUSD_H1,SELL,H1,4963.36,4954.1,4954.01,4947.36,2026-02-18T13:39:19,2026-02-18T13:55:57,sl_hit,92.6,12,1.3,79.3,9.26,7.81,93.5,160.0,1.71
50,MTF_04_XAUUSD_H1,BUY,H1,5008.0,5017.11,5018.36,5024.0,2026-02-19T08:03:03,2026-02-19T08:52:07,sl_hit,91.1,12,0.7,78.4,9.11,7.72,103.6,160.0,1.54
51,STOCH_03_XAUUSD_H1,SELL,H1,4981.54,4972.45,4971.7,4965.54,2026-02-18T20:36:44,2026-02-18T23:06:57,sl_hit,90.9,12,1.3,77.6,9.09,7.64,98.4,160.0,1.63
52,ATR_02_XAUUSD_H1,BUY,H1,5008.0,5017.08,5018.36,5024.0,2026-02-19T08:03:04,2026-02-19T08:52:07,sl_hit,90.8,12,1.3,77.5,9.08,7.63,103.6,160.0,1.54
53,SM_03_XAUUSD_H1,BUY,H1,4964.45,4973.53,4973.87,4980.45,2026-02-19T01:01:59,2026-02-19T02:12:24,sl_hit,90.8,12,1.3,77.5,9.08,7.63,94.2,160.0,1.7
54,COR_03_XAUUSD_H1,BUY,H1,5008.11,5017.14,5018.36,5024.11,2026-02-19T08:04:51,2026-02-19T08:52:07,sl_hit,90.3,12,1.2,77.1,9.03,7.59,102.5,160.0,1.56
55,FIB_07_XAUUSD_H1,SELL,H1,4981.54,4972.45,4971.7,4965.54,2026-02-18T20:36:44,2026-02-18T23:06:57,sl_hit,90.9,12,2.0,76.9,9.09,7.57,98.4,160.0,1.63
56,ADX_02_XAUUSD_H1,BUY,H1,4969.76,4978.72,4979.04,4985.76,2026-02-19T02:32:15,2026-02-19T04:02:18,sl_hit,89.6,12,1.0,76.6,8.96,7.54,92.8,160.0,1.72
57,HARM_05_XAUUSD_H1,BUY,H1,5008.11,5017.14,5018.36,5024.11,2026-02-19T08:04:52,2026-02-19T08:52:07,sl_hit,90.3,12,1.8,76.5,9.03,7.53,102.5,160.0,1.56
58,MOM_04_XAUUSD_H1,BUY,H1,5008.21,5017.14,5018.36,5024.21,2026-02-19T08:08:25,2026-02-19T08:52:08,sl_hit,89.3,12,0.9,76.4,8.93,7.52,101.5,160.0,1.58
59,ST_05_XAUUSD_H1,BUY,H1,4969.76,4978.72,4979.04,4985.76,2026-02-19T02:32:15,2026-02-19T04:02:17,sl_hit,89.6,12,1.3,76.3,8.96,7.51,92.8,160.0,1.72
60,ADX_01_XAUUSD_H1,BUY,H1,5008.21,5017.12,5018.36,5024.21,2026-02-19T08:08:25,2026-02-19T08:52:08,sl_hit,89.1,12,1.1,76.0,8.91,7.48,101.5,160.0,1.58
61,PA_06_XAUUSD_H1,BUY,H1,4964.66,4973.5,4973.87,4980.66,2026-02-19T01:10:14,2026-02-19T02:12:25,sl_hit,88.4,12,0.8,75.6,8.84,7.44,92.1,160.0,1.74
62,VOL_03_XAUUSD_H1,BUY,H1,5008.05,5016.96,5017.46,5024.05,2026-02-19T06:35:49,2026-02-19T07:16:52,sl_hit,89.1,12,1.8,75.3,8.91,7.41,94.1,160.0,1.7
63,ADX_06_XAUUSD_H1,BUY,H1,4980.69,4989.47,4989.61,4996.69,2026-02-19T04:01:22,2026-02-19T05:16:04,sl_hit,87.8,12,0.6,75.2,8.78,7.4,89.2,160.0,1.79
64,COR_02_XAUUSD_H1,BUY,H1,4980.69,4989.47,4989.61,4996.69,2026-02-19T04:01:21,2026-02-19T05:16:04,sl_hit,87.8,12,0.6,75.2,8.78,7.4,89.2,160.0,1.79
65,SM_10_XAUUSD_H1,BUY,H1,4964.66,4973.41,4973.87,4980.66,2026-02-19T01:10:15,2026-02-19T02:12:25,sl_hit,87.5,12,1.2,74.3,8.75,7.31,92.1,160.0,1.74
66,VOL_07_XAUUSD_H1,BUY,H1,5008.23,5017.0,5017.46,5024.23,2026-02-19T06:36:39,2026-02-19T07:16:52,sl_hit,87.7,12,1.4,74.3,8.77,7.31,92.3,160.0,1.73
67,ADX_02_XAUUSD_H1,BUY,H1,4964.71,4973.3,4973.87,4980.71,2026-02-19T01:31:38,2026-02-19T02:12:25,sl_hit,85.9,12,0.6,73.3,8.59,7.21,91.6,160.0,1.75
68,FIB_07_XAUUSD_H1,SELL,H1,4926.09,4917.48,4917.37,4910.09,2026-02-18T08:37:44,2026-02-18T09:08:30,sl_hit,86.1,12,0.9,73.2,8.61,7.2,87.2,160.0,1.83
69,ST_05_XAUUSD_H1,BUY,H1,4964.71,4973.34,4973.87,4980.71,2026-02-19T01:31:38,2026-02-19T02:12:25,sl_hit,86.3,12,1.4,72.9,8.63,7.17,91.6,160.0,1.75
70,SRSI_04_XAUUSD_H1,BUY,H1,5008.53,5017.15,5018.36,5024.53,2026-02-19T08:05:46,2026-02-19T08:52:08,sl_hit,86.2,12,2.0,72.2,8.62,7.1,98.3,160.0,1.63
71,MTF_04_XAUUSD_H1,BUY,H1,4965.04,4973.51,4973.87,4981.04,2026-02-19T01:03:37,2026-02-19T02:12:24,sl_hit,84.7,12,0.8,71.9,8.47,7.07,88.3,160.0,1.81
72,VTX_02_XAUUSD_H1,BUY,H1,4972.35,4980.78,4981.47,4988.35,2026-02-18T14:35:37,2026-02-18T14:45:07,sl_hit,84.3,12,1.4,70.9,8.43,6.97,91.2,160.0,1.75
